uid,shopName,ownerName,email,password,phoneNumber,primarySkill,city,area,visitingCharges,rating,reviewsCount
rjr3J6rrS7RrXP1A8hdWtOu4LcA3,Electrician & Home Maintenance,& Home Maintenance,provider_chijm1ce8pi93zgrlste9_uxzru@yaqeen.com,Password123!,03007802395,Electrician,Islamabad,G-11,300,4.9,7
Ilvtx5jbM4MxXUnQhxJQe6NJr2C2,M.Siraj Electrician and Plumbing Service,M.Siraj  and  Service,provider_chijtyaj_gqx3zgr7j51k4dguh0@yaqeen.com,Password123!,03150416652,Electrician,Islamabad,G-11,300,4.9,61
hGCGXVBvNYMdbiKpL57qJyDTjHN2,Islamabad plumber and electricians,Islamabad plumber and s,provider_chij75vq2uuv3zgr3tlw2_9hv9e@yaqeen.com,Password123!,03015374005,Electrician,Islamabad,G-11,300,4.8,387
ltjKvULMi6N8r8i0QyAcpQJUvNy2,Master centric Plumber Islamabad,Master centric Plumber Islamabad,provider_chijfrhsmw293zgrb1t6ul1jyiq@yaqeen.com,Password123!,03064879628,Electrician,Islamabad,G-11,300,4.9,66
SywpiMNu0ybVePWNfC9XCShArWm1,Arshad Carpenter Shop,Arshad,provider_chijqzyefac93zgrtikpnsovkba@yaqeen.com,Password123!,03325417487,Carpenter,Islamabad,G-11,400,4.6,11
unsHelBcbRa3tliUVWbarYW4CgF3,"Furniture, carpenter work ,sofa cushion and furniture polish","Furniture,  work ,sofa cushion and furniture polish",provider_chijd3fpjm-v3zgrrrajkifk-ua@yaqeen.com,Password123!,03365635699,Carpenter,Islamabad,G-11,400,1.8,5
lbMx1C7kDngI5XEBKpmYiR3ShWp2,Shahid Carpenter works,Shahid  works,provider_chijxzzxxwcx3zgrj6kxidyddhc@yaqeen.com,Password123!,03201968687,Carpenter,Islamabad,G-11,400,5,67
OjVwrqfdnMRqBgWK9Rbp1esENFs1,Carpentrya - Kitchen Cabinet - Wardrobe - Door - LCD Rack Carpenter in Rawalpindi Islamabad,Carpentrya - Kitchen Cabinet - Wardrobe - Door - LCD Rk  in Rawalpindi Islamabad,provider_chijucophklt3zgrw7xjzrwhrdy@yaqeen.com,Password123!,03150535708,Carpenter,Islamabad,G-11,400,4.7,55
HwEQ5oDir3alwBwAakImsDEpqrr2,Sofa poshish Curtains & Blinds center (Chaudhary interior),Sofa poshish Curtains & Blinds  (Chaudhary interior),provider_chijfrqpbd6_3zgrv2pz_1mv2z0@yaqeen.com,Password123!,03465080106,Carpenter,Islamabad,G-11,400,5,112
vKfCFzFwVmVcXbIJ9ANpj38ZOXb2,New Meeran Paints & Hardware Store,New Meeran Paints & Hardware,provider_chijvt1zjaew3zgr-blacgysmes@yaqeen.com,Password123!,03009506299,Painter,Islamabad,G-11,600,4.3,96
7HtXkclBfvh2VCN6nNaFh1YVDFg1,"Unique paint service1, wall paint selling paint wood Polish Deco Professional painters& wall PVC Pinnels install","Unique paint service1, wall paint selling paint wood Polish Deco Professional s& wall PVC Pinnels install",provider_chijezsl36u93zgrnmh8_mtogb0@yaqeen.com,Password123!,03175800321,Painter,Islamabad,G-11,600,4.9,30
ffmQxrMr9saZvKCMRM9rXHktReW2,Master paints gudam Islamabad (Warehouse),Master paints gudam Islamabad (Warehouse),provider_chijweh7do-x3zgrbh6qw1fey9e@yaqeen.com,Password123!,03221720296,Painter,Islamabad,G-11,600,4.9,237
apxyq5G4O8ROjhx72HGNHXSaKXl1,Hussain traders G-11/1 Branch 01,Hussain traders G-11/1 Branch 01,provider_chijyx99kgew3zgrutsxxserato@yaqeen.com,Password123!,03215253076,Painter,Islamabad,G-11,600,4.3,35
t9RPxJrReQTwqfxFoTVv1HYOe0k1,Jotun Paints,Jotun Paints,provider_chijuvkeubk93zgri42kp6_amlq@yaqeen.com,Password123!,03455010443,Painter,Islamabad,G-11,600,4.8,99
j31WzduLz4Oi5Plao8vvuqxPLAt1,Haji Paint & Hardware Store,Haji Paint & Hardware,provider_chijkffxk_m93zgrbvzjwypgxr0@yaqeen.com,Password123!,03335177807,Painter,Islamabad,G-11,600,4.4,13
snM2BxcY3jOq31Bf8LKE2elV7cm2,Islamabad Color Centre,Islamabad Color Centre,provider_chije5zi2xs-3zgr7o9-e-x1mf4@yaqeen.com,Password123!,03370400007,Painter,Islamabad,G-11,600,4.8,19
KMyA4p7FrLdqDGbbA3r3zgps7em1,Waqar Brothers Paint & Hardware Store,Waqar Brothers Paint & Hardware,provider_chijc4rkyw3q3zgrtexxmpyklfw@yaqeen.com,Password123!,03355254446,Painter,Islamabad,G-11,600,4.7,89
Histp3VYf0MbW23HYwmOyxpTgQz1,Jugnu's Salon,Jugnu's,provider_chijrw9svwov3zgr-uhglylf05s@yaqeen.com,Password123!,03161188228,Beauty Parlor,Islamabad,G-11,450,4.1,146
my7wTvMQ5oU9PsFWksXC5RxZX1E3,Infinity Salon G-11,Infinity  G-11,provider_chijz901f5gv3zgrkcj8zfjggiq@yaqeen.com,Password123!,03365528053,Beauty Parlor,Islamabad,G-11,450,4.7,156
lrTxC7ZwT2b6ATYk8oWRQ4EGkQm1,La Fiore Salon,La Fiore,provider_chij54vakeu93zgr0v0ctj0kpqo@yaqeen.com,Password123!,03093099999,Beauty Parlor,Islamabad,G-11,450,4.3,215
1fxov6CawBYlOtSbSl0Bb5ZHPfr1,Enigma Salon Islamabad,Enigma  Islamabad,provider_chije3pj5vzqrwcryydecumis7g@yaqeen.com,Password123!,03295134746,Beauty Parlor,Islamabad,G-11,450,5,24
OKYZCpJtadgyfOW2ICMYYzZFbUF3,Fozia Salon,Fozia,provider_chijixcx3zcobserclzfth1rcru@yaqeen.com,Password123!,03085559779,Beauty Parlor,Islamabad,G-11,450,5,67
V2cbvvoK9rZ3zcEUGGH2dlUmvCo2,Jabeen's Glam,Jabeen's Glam,provider_chijvcscnu-_3zgrw7ckwk2zviu@yaqeen.com,Password123!,03342228147,Beauty Parlor,Islamabad,G-11,450,5,160
9hgoUIeuTGaCUKnSbeWLjQyiaEz1,Beauty Zone Salon,Beauty Zone,provider_chijdzlvg-2_3zgrygtqc7uim5g@yaqeen.com,Password123!,03325504569,Beauty Parlor,Islamabad,G-11,450,4.9,20
Dt9CfJcWyQR9L6PA6SmptTQigO92,Memon Salon,Memon,provider_chijn8sckws_3zgruijyqf1lqge@yaqeen.com,Password123!,03327228889,Beauty Parlor,Islamabad,G-11,450,4.8,75
9YJLROj9S0eOvCiwPc5nZCppGH52,Fade Men's Salon,Fade Men's,provider_chij86d-ymc93zgretjtbguqnt4@yaqeen.com,Password123!,03111696176,Barber & Grooming,Islamabad,G-11,200,4.8,226
q8tLTyPehBWaFGFMDQrSW5BK9CB2,Aks for men,Aks for men,provider_chijhvxqpqcv3zgrgn9nqwnzr2o@yaqeen.com,Password123!,03435435770,Barber & Grooming,Islamabad,G-11,200,4.8,38
baKfShdRp7ZcBos92d5J2tagDfx2,Nawaz Hair Salon,Nawaz Hair,provider_chij66cagp-v3zgrobofroxmcgc@yaqeen.com,Password123!,03099265962,Barber & Grooming,Islamabad,G-11,200,4.4,444
rtoc9VKWhQczcqrGrq9stzFIes53,House of Salons - F11 (Men's Salon),House of s - F11 (Men's ),provider_chij8-qmgkc93zgruknldc-9olo@yaqeen.com,Password123!,03251006659,Barber & Grooming,Islamabad,G-11,200,4.8,793
7PBbUsX9nEep4DoH2CK6V2kCoUA3,FADE SENSE ALIVION (MEN'S HAIR SALON ISLAMABAD),FADE SENSE ALIVION (MEN'S HAIR  ISLAMABAD),provider_chijywqbagev3zgrbqpndbwicw4@yaqeen.com,Password123!,03479298776,Barber & Grooming,Islamabad,G-11,200,5,16
ejtidRECOXX0gWWt1KTmFFUYCYp1,Jackson’s Salon,Jkson’s,provider_chij5s9c6hm93zgreyjsatajx5k@yaqeen.com,Password123!,03415229528,Barber & Grooming,Islamabad,G-11,200,4.8,539
4DB32CRZLJUzZPwwpHXFfLrsYPh1,The Brut Barbers,The Brut Barbers,provider_chijjdbepqc93zgr9gncb9d560i@yaqeen.com,Password123!,03260377903,Barber & Grooming,Islamabad,G-11,200,4.7,234
sXNQ5bDat4Pbnxl0PhM7hPPZrGw2,The Grooming Zone,The Grooming Zone,provider_chijq5isstw93zgr3wlqtyelucg@yaqeen.com,Password123!,03325005514,Barber & Grooming,Islamabad,G-11,200,4.9,264
F4jxZOE3cNTBioNK1kxtScF2ki53,CAR MECHANIC Asif auto Workshop & Computerized Diagnostic Center 24/7 Service,CAR MECHANIC Asif auto  & Computerized Diagnostic  24/7 Service,provider_chijdwmfxpuv3zgr7xjiukbncyg@yaqeen.com,Password123!,03025707457,Automobile Mechanic,Islamabad,G-11,500,4.9,41
DLmKJGH7txQL0hPWI76TFV2cs4J3,Bannu Auto workshop,Bannu Auto,provider_chijmr-akacx3zgrzafgvwhjy3q@yaqeen.com,Password123!,03365677237,Automobile Mechanic,Islamabad,G-11,500,5,5
wmJOgQvvMCOhyUBlIKVyNSFitSJ2,Farooq Auto Care,Farooq Auto Care,provider_chij7x9mxgcx3zgrcucmvmg5x-c@yaqeen.com,Password123!,03112222791,Automobile Mechanic,Islamabad,G-11,500,4.7,30
fWpfDG3rgJSar0YEDjIofzJLYfr1,Wahid Autos,Wahid Autos,provider_chijowgluc-v3zgrxtn31vt53eq@yaqeen.com,Password123!,03015458889,Automobile Mechanic,Islamabad,G-11,500,4.6,5
ZA9xWTaVzhV8yU4sr9gKppdJjNh1,Waseem auto,Waseem auto,provider_chijgd8_f22x3zgrf9pw4fgvat0@yaqeen.com,Password123!,0508824860,Automobile Mechanic,Islamabad,G-11,500,4.4,31
TuTs1VfPFEaiiZ9U72wfvzbv2Lf1,Aziz Autos & oil change,Aziz Autos & oil change,provider_chijcsmiytqv3zgrq4h6dttpc4w@yaqeen.com,Password123!,03009107646,Automobile Mechanic,Islamabad,G-11,500,4.3,26
NgP5QzLbbMhlIhuQwL30H6o7wls1,Islamabad super autoz,Islamabad super autoz,provider_chijy11ovwcv3zgry36zmxcjqrg@yaqeen.com,Password123!,03175717754,Automobile Mechanic,Islamabad,G-11,500,4.5,25
2BXbtJZmZbYmhtYnpe7GcWI7I0v1,Auto Macanic repairing market,Auto Manic ing market,provider_chij85nnbegx3zgrlorvbhjiejg@yaqeen.com,Password123!,03074040790,Automobile Mechanic,Islamabad,G-11,500,4.5,4
jd0pg1YzvVWgKHfV5fYZU9xg7Vf1,ProCare Maintenance,ProCare Maintenance,provider_chij2szaick93zgr7xsocbj5gha@yaqeen.com,Password123!,03131581615,Appliance Repair,Islamabad,G-11,400,4.8,16
5ou7yZKEyuUNY8kv0cMHw1fOoXt2,Plumber and electricians Islamabad,Plumber and s Islamabad,provider_chij9tvkkti_3zgrea-tod4u-pc@yaqeen.com,Password123!,03135086935,Appliance Repair,Islamabad,G-11,400,4.8,98
myrQI716ENOB23EULhuyc2WmqgY2,Service Man,Service Man,provider_chij-w9mehyx3zgr5oriqndn8b0@yaqeen.com,Password123!,03202475119,Appliance Repair,Islamabad,G-11,400,4.4,22
c74ziWANBMVfdCW9zCUkdErpxgi1,Samsung Service Center islamabad rawalpindi,Samsung Service  islamabad rawalpindi,provider_chijj82giu-v3zgrq3rdptmny8k@yaqeen.com,Password123!,03335543151,Appliance Repair,Islamabad,G-11,400,4.7,169
cfC9JyV27lhvqXX3SHXfrp1ovCx1,Smart FixUp | Top Ac & Fridge services | Automatic Washing machine,Smart FixUp | Top  & Fridge  | Automatic Washing mhine,provider_chij6suj03yunikrzvjfs1gmc9e@yaqeen.com,Password123!,03177959336,Appliance Repair,Islamabad,G-11,400,4.9,55
y40ToKIRn8avwYk3FpYjB9zAWpe2,AL Noor Fridge house,AL Noor Fridge house,provider_chijj0t_0wrd3zgrh1qmsdc15aa@yaqeen.com,Password123!,03446389826,Appliance Repair,Islamabad,G-11,400,4.9,30
mVrYaU0bx2P4awVImYzwC0AUtrc2,Royal Maintenance & Cool Point,Royal Maintenance & Cool Point,provider_chijkc3wdus93zgru-vhew0k4bs@yaqeen.com,Password123!,03069046325,Appliance Repair,Islamabad,G-11,400,5,11
eNpISQYImDMnK1zGbeDqYTdvVhD2,Ali Rehman Cool Engineers,Ali Rehman Cool Engineers,provider_chijxvqjwyu_3zgr9jjzpwnyh4w@yaqeen.com,Password123!,03455280767,Appliance Repair,Islamabad,G-11,400,5,47
XB09ACW31tfbdshHLcP35zhUTbg2,Urban Care - House Maid- Cleaning Services in islamabad,Urban Care - House Maid- Cleaning  in islamabad,provider_chije4bizbk93zgrnsli_pgd-ye@yaqeen.com,Password123!,03119891257,Cleaning & Janitorial,Islamabad,G-11,350,4.7,39
yvKE4kSXjsfHgAfxqpD78uqO6Fu1,Elite Domestic Agency & Home Maid Services,Elite Domestic Agency & Home Maid,provider_chijp7oahdkv3zgrjhykoewmtxo@yaqeen.com,Password123!,03336166544,Cleaning & Janitorial,Islamabad,G-11,350,4.8,124
XitSokdKLiO95UwaTETXjt9sii02,PDS Maid Service Agency,PDS Maid Service Agency,provider_chijt2g2ia-93zgr-9eitpw-wuo@yaqeen.com,Password123!,03468106525,Cleaning & Janitorial,Islamabad,G-11,350,4.7,277
GBlcw2n8L9cMzybnE2kdSlK3Sxp1,PPS Maid Service and Cleaning,PPS Maid Service and Cleaning,provider_chij2xk9eu693zgrrwjdbrlhw_m@yaqeen.com,Password123!,03459863175,Cleaning & Janitorial,Islamabad,G-11,350,4.6,32
7lt06CrCr1RHPIUh3dtMhllbDbH2,HM Cleanings Service,HM Cleanings Service,provider_chijcq1sht2_3zgrifzt3ibgzwc@yaqeen.com,Password123!,03038083960,Cleaning & Janitorial,Islamabad,G-11,350,4.8,86
fERXRwxtWxYXpuoxiG5NliKFFEn1,Fresh And Bright Cleaning Services,Fresh And Bright Cleaning,provider_chij084ekwcv3zgrkdrw-9ygpqu@yaqeen.com,Password123!,03177147280,Cleaning & Janitorial,Islamabad,G-11,350,5,15
wdNJR4OeCtcYMEyqGA8Huoo171t2,"Fast Cleaners ( Cleaning Services, Janitorial Services, Carpet, Sofa, Water Tank, In Islamabad, )","Fast Cleaners ( Cleaning , Janitorial , Carpet, Sofa, Water Tank, In Islamabad, )",provider_chijm9mrf6iv3zgrzdf_-_xqcq8@yaqeen.com,Password123!,03335111974,Cleaning & Janitorial,Islamabad,G-11,350,4.5,38
fgg5hy4vpuX2Al7M5yXaNi3VyQG2,Unique Employment Company - Maid Service,Unique Employment Company - Maid Service,provider_chijd8heroax3zgrwa0n0tpryeq@yaqeen.com,Password123!,03489899003,Cleaning & Janitorial,Islamabad,G-11,350,4.8,199
aAc6sc3DekTgyenQQxKZiQzM8Qt2,Islamabad AC Repair & Maintenance Service - HVAC company Islamabad - Ac Installation,Islamabad   & Maintenance Service - HV company Islamabad -  Installation,provider_chijc8zynqnp3zgruzjh_q9b3pa@yaqeen.com,Password123!,03440511165,AC Technician,Islamabad,F-8,500,4.9,12
DIPhqiUezMdafRImQE3P96C4l6A3,AHMAD COOLING CENTERS ISLAMABAD,AHMAD COOLING S ISLAMABAD,provider_chijytwfk3g_3zgrogqc9b-n7xu@yaqeen.com,Password123!,03088729419,AC Technician,Islamabad,F-8,500,5,33
0BYaBRLVrDQLnsUhHD7ScDqAzVn1,"MAQSOOD AND SONS - BEST HVAC CONTRACTORS , AC REPAIRING AND MAINTENANCE COMPANY","MAQSOOD AND SONS - BEST HV CONTRTORS ,  ING AND MAINTENANCE COMPANY",provider_chijjekpx96v3zgrqcoqw9htilk@yaqeen.com,Password123!,03040007000,AC Technician,Islamabad,F-8,500,4.9,515
316sRd7EyddQqr4f1Oww1aqkJB62,Usman Engineering & Co,Usman Engineering & Co,provider_chij7328cqu_3zgrhcww3h0g_qg@yaqeen.com,Password123!,03335372856,AC Technician,Islamabad,F-8,500,4.9,123
ngUteuQI8gN3zrVyKvVFIFLFIcg1,Islamabad AC service & repair,Islamabad  service &,provider_chijiyqrjiyx3zgrszh98t2rwri@yaqeen.com,Password123!,03355111414,AC Technician,Islamabad,F-8,500,5,1
FB1Kt8mDtUby6DVOSohQeeJ2cGx1,Islamabad AC Service & Installation,Islamabad  Service & Installation,provider_chijf5qnwn6v3zgrxhgqecmvdps@yaqeen.com,Password123!,03335322024,AC Technician,Islamabad,F-8,500,3.9,34
Bxgrp4AXOqbzMLLw91hprjq8Kad2,Kareegar Electric Works,Kareegar Electric Works,provider_chijx90ft7dv3zgrs4rv74_3u9e@yaqeen.com,Password123!,03424405239,AC Technician,Islamabad,F-8,500,5,113
p6jXy0OFzIgz3Izywi4CsUC5ufe2,The Handyman Pvt. Limited,The Handyman Pvt. Limited,provider_chijo656sfk-3zgrvoxmi_hhzd4@yaqeen.com,Password123!,03123559886,AC Technician,Islamabad,F-8,500,4.1,104
316sRd7EyddQqr4f1Oww1aqkJB62,Usman Engineering & Co,Usman Engineering & Co,provider_chij7328cqu_3zgrhcww3h0g_qg@yaqeen.com,Password123!,03335372856,Plumber,Islamabad,F-8,300,4.9,123
p6jXy0OFzIgz3Izywi4CsUC5ufe2,The Handyman Pvt. Limited,The Handyman Pvt. Limited,provider_chijo656sfk-3zgrvoxmi_hhzd4@yaqeen.com,Password123!,03322443297,Plumber,Islamabad,F-8,300,4.1,104
xNoDCxUHn9cZfMRROcoPvxCoPv72,Shakir Plumber service,Shakir Plumber service,provider_chijqxp4dno_3zgrlgmcthj9eya@yaqeen.com,Password123!,03354033553,Plumber,Islamabad,F-8,300,4.5,25
hGCGXVBvNYMdbiKpL57qJyDTjHN2,Islamabad plumber and electricians,Islamabad plumber and s,provider_chij75vq2uuv3zgr3tlw2_9hv9e@yaqeen.com,Password123!,03015374005,Plumber,Islamabad,F-8,300,4.8,387
EQcgYyoQWEbXCgOp4b1h11aicYp1,Plumberb,Plumberb,provider_chijqeg-k2i_3zgrpaykekr2qzg@yaqeen.com,Password123!,03344774437,Plumber,Islamabad,F-8,300,4.8,92
Ky5SV7A7T5dzJvXVVgFK9i3KfT23,Muhammad naeem,Muhammad naeem,provider_chijjxoevqc_3zgr9u8tmp42kwc@yaqeen.com,Password123!,03035682941,Plumber,Islamabad,F-8,300,4.6,8
sp9fJi0vYGO7vu2ihLuWP5mG9c83,Electro Engineers,Electro Engineers,provider_chijsx91jey_3zgrjvt2zr5cgbq@yaqeen.com,Password123!,03113337222,Plumber,Islamabad,F-8,300,5,15
GrDen0hetcZJrGBxYViIkBA4tP83,ZAFAR KHAN BUILDER,ZAFAR KHAN BUILDER,provider_chijw1siage93zgrvm7gd9k7an4@yaqeen.com,Password123!,03333334455,Plumber,Islamabad,F-8,300,5,1
FgKaI8uGEhRt4lEnm6bv6WvAQpr1,Bilal Electrical & A/C Services,Bilal Electrical & A/C,provider_chijb_35pgc_3zgr1nf4xggaz2g@yaqeen.com,Password123!,03423473707,Electrician,Islamabad,F-8,300,5,3
Bxgrp4AXOqbzMLLw91hprjq8Kad2,Kareegar Electric Works,Kareegar Electric Works,provider_chijx90ft7dv3zgrs4rv74_3u9e@yaqeen.com,Password123!,03424405239,Electrician,Islamabad,F-8,300,5,113
316sRd7EyddQqr4f1Oww1aqkJB62,Usman Engineering & Co,Usman Engineering & Co,provider_chij7328cqu_3zgrhcww3h0g_qg@yaqeen.com,Password123!,03335372856,Electrician,Islamabad,F-8,300,4.9,123
p6jXy0OFzIgz3Izywi4CsUC5ufe2,The Handyman Pvt. Limited,The Handyman Pvt. Limited,provider_chijo656sfk-3zgrvoxmi_hhzd4@yaqeen.com,Password123!,03221022527,Electrician,Islamabad,F-8,300,4.1,104
sp9fJi0vYGO7vu2ihLuWP5mG9c83,Electro Engineers,Electro Engineers,provider_chijsx91jey_3zgrjvt2zr5cgbq@yaqeen.com,Password123!,03113337222,Electrician,Islamabad,F-8,300,5,15
Tij8ABTAOUbxJ2Xyt2319AE437C2,Bilal electric & sanetery store,Bilal electric & sanetery,provider_chij9xcyneo_3zgritaqiu7suke@yaqeen.com,Password123!,03331916574,Electrician,Islamabad,F-8,300,5,1
UByHNJs2bXVBdHmlcieIyGuOixj1,Tech Electrical Services,Tech Electrical,provider_chijuq18x2h_qcorwoy7ef3ohq8@yaqeen.com,Password123!,03294160492,Electrician,Islamabad,F-8,300,5,2
YoZIEQZFwAZsZRSISQiLFt7ahAv2,Tech Electrical Services,Tech Electrical,provider_chijksdguqc_3zgr7avk4cpzby8@yaqeen.com,Password123!,03294160492,Electrician,Islamabad,F-8,300,5,2
GbvuMuLooBWM6RG3J9a8yzD0Tsx1,Carpenters.com.pk - Carpenter in Islamabad & Rawalpindi,s.com.pk -  in Islamabad & Rawalpindi,provider_chij35vqfziv3zgrufvymfws0jk@yaqeen.com,Password123!,03331331312,Carpenter,Islamabad,F-8,400,5,5
ovRrLVrsFzVBS7aqtVr5igI4Pig1,Home Factree,Home Ftree,provider_chijaqaawnq93zgrnhfrkj-mr8o@yaqeen.com,Password123!,03488910092,Carpenter,Islamabad,F-8,400,3.9,95
jxFO9ieXJ7Yfi7aEibWeX9eWPXE2,Kitchen Care,Kitchen Care,provider_chijk8msbru_3zgrrreklezmhbe@yaqeen.com,Password123!,03335293013,Carpenter,Islamabad,F-8,400,4.3,86
316sRd7EyddQqr4f1Oww1aqkJB62,Usman Engineering & Co,Usman Engineering & Co,provider_chij7328cqu_3zgrhcww3h0g_qg@yaqeen.com,Password123!,03335372856,Carpenter,Islamabad,F-8,400,4.9,123
7HtXkclBfvh2VCN6nNaFh1YVDFg1,"Unique paint service1, wall paint selling paint wood Polish Deco Professional painters& wall PVC Pinnels install","Unique paint service1, wall paint selling paint wood Polish Deco Professional s& wall PVC Pinnels install",provider_chijezsl36u93zgrnmh8_mtogb0@yaqeen.com,Password123!,03175800321,Painter,Islamabad,F-8,600,4.9,30
ijqKdSU1o4ff154qVniVvyXuA9h1,New Al-Asif Paint & Hardware Store. Official Dealer: Dulux & Gobis Paint,New Al-Asif Paint & Hardware . Official Dealer: Dulux & Gobis Paint,provider_chijeea2svqv3zgroqiz7qgck5k@yaqeen.com,Password123!,0514444559,Painter,Islamabad,F-8,600,4.6,29
p6jXy0OFzIgz3Izywi4CsUC5ufe2,The Handyman Pvt. Limited,The Handyman Pvt. Limited,provider_chijo656sfk-3zgrvoxmi_hhzd4@yaqeen.com,Password123!,03240988728,Painter,Islamabad,F-8,600,4.1,104
KZEo8C2NaihhnoZgVKHYJGuo06j1,Master paints Islamabad (wholesale company outelate)standard Paint store,Master paints Islamabad (wholesale company outelate)standard Paint,provider_chijq8rkora_3zgr8souyjjgcjs@yaqeen.com,Password123!,0512325027,Painter,Islamabad,F-8,600,4.9,450
snM2BxcY3jOq31Bf8LKE2elV7cm2,Islamabad Color Centre,Islamabad Color Centre,provider_chije5zi2xs-3zgr7o9-e-x1mf4@yaqeen.com,Password123!,03370400007,Painter,Islamabad,F-8,600,4.8,19
lCHQK8YgG2Tdfsfa7e1lkPLLbwG3,paint pandas,paint pandas,provider_chij5zsmlvet3zgrzqyq7kkqecw@yaqeen.com,Password123!,03097759479,Painter,Islamabad,F-8,600,4.9,12
